iter	Passed	Remaining
475	642	707
476	643	705
477	644	704
478	645	702
479	646	700
480	647	698
481	648	697
482	649	695
483	651	694
484	652	692
485	653	690
486	653	688
487	654	687
488	655	685
489	656	683
490	657	681
491	658	680
492	659	678
493	660	676
494	661	674
495	662	673
496	663	671
497	664	670
498	665	668
499	666	666
500	667	664
501	668	663
502	669	661
503	670	659
504	671	658
505	672	656
506	673	654
507	674	652
508	675	651
509	676	649
510	677	648
511	678	646
512	679	645
513	680	643
514	681	641
515	682	640
516	683	638
517	684	636
518	685	635
519	686	633
520	686	631
521	687	629
522	688	628
523	689	626
524	690	624
525	691	623
526	692	621
527	694	620
528	695	618
529	696	617
530	696	615
531	697	614
532	698	612
533	699	610
534	700	609
535	701	607
536	703	606
537	704	604
538	705	602
539	706	601
540	707	600
541	708	598
542	709	597
543	710	595
544	711	594
545	712	592
546	713	591
547	715	589
548	716	588
549	717	586
550	718	585
551	719	583
552	720	582
553	721	581
554	723	579
555	724	578
556	725	576
557	726	575
558	727	573
559	728	572
560	729	570
561	730	569
562	731	567
563	732	566
564	733	564
565	734	562
566	735	561
567	736	560
568	737	558
569	738	557
570	739	555
571	740	554
572	741	552
573	742	551
574	743	549
575	744	548
576	745	546
577	746	545
578	748	543
579	749	542
580	750	541
581	751	539
582	752	538
583	753	536
584	754	535
585	755	534
586	757	532
587	758	531
588	759	529
589	760	528
590	761	526
591	762	525
592	763	523
593	764	522
594	765	521
595	766	519
596	768	518
597	769	517
598	770	515
599	771	514
600	772	512
601	773	511
602	774	510
603	776	508
604	777	507
605	778	506
606	779	504
607	780	503
608	781	501
609	782	500
610	783	498
611	784	497
612	785	496
613	786	494
614	788	493
615	789	491
616	790	490
617	791	489
618	792	487
619	793	486
620	793	484
621	794	483
622	796	481
623	797	480
624	798	478
625	799	477
626	800	475
627	800	474
628	801	472
629	802	471
630	803	469
631	804	468
632	805	466
633	806	465
634	807	464
635	808	462
636	809	461
637	810	460
638	812	458
639	813	457
640	814	456
641	815	454
642	816	453
643	817	451
644	818	450
645	819	448
646	820	447
647	820	445
648	821	444
649	823	443
650	824	441
651	825	440
652	826	439
653	827	437
654	828	436
655	829	434
656	830	433
657	831	431
658	832	430
659	833	429
660	834	427
661	835	426
662	836	425
663	837	423
664	838	422
665	839	421
666	840	419
667	841	418
668	842	417
669	844	415
670	845	414
671	846	412
672	847	411
673	848	410
674	849	408
675	850	407
676	850	406
677	851	404
678	852	403
679	853	401
680	855	400
681	856	399
682	856	397
683	858	396
684	859	395
685	860	393
686	861	392
687	862	390
688	863	389
689	864	388
690	865	386
691	866	385
692	867	384
693	868	382
694	869	381
695	870	380
696	871	378
697	872	377
698	873	376
699	874	374
700	875	373
701	876	372
702	878	370
703	879	369
704	880	368
705	881	366
706	882	365
707	883	364
708	884	362
709	885	361
710	886	360
711	887	359
712	888	357
713	889	356
714	890	355
715	891	353
716	892	352
717	893	351
718	894	349
719	895	348
720	896	346
721	897	345
722	898	344
723	899	342
724	900	341
725	901	340
726	902	338
727	903	337
728	904	336
729	905	334
730	906	333
731	907	332
732	908	331
733	909	329
734	910	328
735	911	327
736	912	325
737	914	324
738	915	323
739	916	321
740	917	320
741	918	319
742	919	318
743	920	316
744	921	315
745	922	314
746	923	312
747	924	311
748	925	310
749	926	308
750	927	307
751	928	306
752	929	304
753	930	303
754	932	302
755	933	301
756	934	299
757	935	298
758	936	297
759	937	295
760	938	294
761	939	293
762	939	291
763	940	290
764	941	289
765	942	287
766	943	286
767	944	285
768	945	284
769	946	282
770	947	281
771	948	280
772	949	278
773	950	277
774	951	276
775	952	274
776	953	273
777	953	272
778	954	270
779	955	269
780	956	268
781	957	267
782	958	265
783	959	264
784	960	263
785	961	261
786	962	260
787	963	259
788	964	257
789	965	256
790	966	255
791	967	254
792	968	252
793	969	251
794	970	250
795	971	248
796	972	247
797	973	246
798	974	245
799	975	243
800	976	242
801	977	241
802	977	239
803	978	238
804	979	237
805	980	235
806	981	234
807	982	233
808	983	232
809	984	230
810	984	229
811	985	228
812	986	227
813	988	225
814	989	224
815	989	223
816	990	221
817	992	220
818	993	219
819	994	218
820	995	217
821	996	215
822	997	214
823	998	213
824	999	211
825	1000	210
826	1001	209
827	1002	208
828	1003	206
829	1004	205
830	1005	204
831	1005	203
832	1007	201
833	1008	200
834	1009	199
835	1010	198
836	1011	196
837	1012	195
838	1013	194
839	1014	193
840	1015	191
841	1016	190
842	1017	189
843	1018	188
844	1019	186
845	1020	185
846	1021	184
847	1022	183
848	1023	182
849	1024	180
850	1025	179
851	1026	178
852	1027	177
853	1028	175
854	1029	174
855	1030	173
856	1031	172
857	1032	170
858	1033	169
859	1034	168
860	1035	167
861	1036	165
862	1037	164
863	1038	163
864	1039	162
865	1040	160
866	1041	159
867	1041	158
868	1043	157
869	1044	156
870	1045	154
871	1046	153
872	1047	152
873	1048	151
874	1049	149
875	1050	148
876	1051	147
877	1052	146
